table,row_count,row_approx,ui_files,workflow_refs
security_deposits,4,0,1,1
send_time_preferences,95,0,1,1
sending_accounts,4,0,3,3
seo_content_scores,2,0,1,1
seo_keyword_tracking,10,0,1,1
sequence_ab_tests,217,0,1,0
sequence_enrollments,0,0,3,1
sequence_step_history,0,0,0,0
sequence_templates,75,0,3,4
sequences,91,0,25,6
service_visits,6,0,1,0
services,29,0,29,12
services_catalog,16,0,1,1
settings,7,0,60,3
shared_credentials,50,0,0,0
shared_workflow,43,0,0,0
signed_consents,0,0,0,0
sla_breaches,274364,0,0,2
sla_policies,80,0,0,1
smart_tasks,0,0,1,1
social_accounts,8,0,1,0
social_content_posts,16,0,0,1
social_mentions,10,0,2,1
social_post_queue,7655,0,2,1
social_posts,274,0,7,6
social_schedule_slots,36,0,0,0
staff,0,0,28,4
staff_chats,0,0,0,0
staff_conversations,0,0,0,0
staff_members,0,0,0,0
staff_schedules,0,0,0,0
storm_events,0,0,1,1
subscription_plans,4,0,0,0
subscription_tiers,3,0,0,0
subscriptions,3,0,1,2
system_events,10114,0,12,5
system_health,0,0,0,0
target_accounts,5,0,1,2
target_personas,35,0,1,2
task_automation_rules,162,0,1,0
task_automation_rules_template,21,0,0,0
task_execution_log,0,0,0,0
task_executions,0,0,0,0
tasks,2,0,19,6
team_activity_logs,8,0,0,0
team_invitations,7,0,2,0
team_member_notifications,0,0,0,0
team_member_sessions,0,0,0,0
team_members,3,0,4,0
tenant_audit_log,80,0,1,1
tenant_channels,0,0,0,0
tenant_config,42,0,30,96
tenant_cta_library,28,0,0,0
tenant_health_probe,135,0,0,0
tenant_icp_config,25,0,0,4
tenant_integrations,2,0,2,1
tenant_oauth_grants,0,0,0,0
tenant_onboarding,3,0,0,0
tenant_phone_numbers,3,0,5,2
tenant_providers,0,0,0,1
tenant_services,0,0,0,1
tenant_templates,0,0,0,0
tenants,0,0,22,59
tender_documents,4,0,0,0
tender_payments,6,0,2,0
tender_stages,8,0,1,1
tenders,8,0,6,1
treatment_media,0,0,0,0
treatment_notes,0,0,0,0
treatment_records,0,0,0,0
treatments,0,0,10,6
trend_insights,5599,0,2,1
trending_topics,0,0,1,0
trigger_events,99,0,1,4
trigger_monitors,95,0,1,2
unified_predictions,0,0,0,0
usage_records,3,0,1,0
user,1,0,59,36
user_api_keys,1,0,0,0
user_roles,48,0,6,0
users,48,0,34,2
video_analytics,0,0,0,1
video_assets,0,0,0,1
video_performance_signals,154,0,0,1
video_projects,171,0,3,10
video_publishing_log,1,0,0,0
video_render_queue,106,0,1,4
video_retargeting_audiences,4,0,2,1
video_templates,20,0,1,3
video_view_tracking,7,0,2,2
vip_routing_rules,2,0,0,0
visitor_sessions,1,0,1,2
visits,0,0,5,2
voice_call_log,1,0,0,1
voice_credit_transactions,0,0,1,1
voice_credits,1,0,7,3
voice_inbox_sync,1,0,0,1
voice_invoices,0,0,0,0
voice_marketing_calls,0,0,1,1
voice_packages,4,0,0,0
voice_phone_numbers,2,0,0,1
voice_phone_pool,1,0,0,0
voice_prompt_templates,15,0,2,1
voice_provider_config,13,0,0,0
voice_usage,14,0,9,3
warmup_daily_log,13,0,1,1
warranty_tracking,0,0,1,1
webhook_entity,225,0,0,0
webhook_logs,0,0,0,0
website_cta_clicks,26,0,0,0
website_leads,2,0,0,1
website_visitors,575,0,1,1
workflow_dependency,6968,0,0,0
workflow_entity,43,0,0,0
workflow_errors,18,0,0,1
workflow_executions,0,0,0,0
workflow_health_log,0,0,0,0
workflow_history,49,0,0,0
workflow_publish_history,79,0,0,0
workflow_statistics,147,0,0,0
yt_analytics_snapshots,5,0,1,0
yt_channel_audits,1,0,1,1
yt_channels,77,0,1,7
yt_client_economics,5,0,1,0
yt_client_reports,1,0,1,1
yt_competitor_alerts,4,0,1,1
yt_competitor_tracking,3,0,1,1
yt_content_calendar,6,0,1,0
yt_discovery_batches,36,0,1,0
yt_generated_assets,5,0,1,2
yt_oauth_connections,2,0,1,0
yt_outreach_campaigns,1,0,1,1
yt_outreach_sequences,7,0,0,2
yt_outreach_touches,166,0,0,2
yt_payment_transactions,3,0,1,0
yt_portal_messages,3,0,1,0
yt_portal_users,2,0,1,0
yt_seo_packages,3,0,1,1
yt_thumbnail_tests,3,0,1,0
yt_trending_topics,4,0,1,0
yt_video_scripts,1,0,1,1
