=== ALL PUBLIC TABLES — 625 total ===

Table                                         RLS  Pol  Cols  Rows      Size      
manual_email_campaigns                        ON   5    21    1         48 KB     
manual_email_recipients                       ON   5    12    1         64 KB     
market_signals                                ON   1    28    674       672 KB    
marketing_agencies                            ON   1    7     0         16 KB     
marketing_ai_activity                         ON   5    8     15        32 KB     
marketing_analytics                           ON   1    16    0         24 KB     
marketing_api_usage                           ON   1    11    0         8 KB      
marketing_calendar                            ON   2    18    1         80 KB     
marketing_campaigns                           ON   5    22    23        80 KB     
marketing_consent                             ON   1    9     0         16 KB     
marketing_content                             ON   5    33    14416     26 MB     
marketing_performance_log                     ON   1    20    0         16 KB     
marketing_personas                            ON   1    23    3         32 KB     
marketing_playbooks                           ON   2    15    30        264 KB    
marketing_predictions                         ON   2    16    35        80 KB     
marketing_sequence_enrollments                ON   1    12    0         32 KB     
marketing_sequence_steps                      ON   1    17    22        80 KB     
marketing_sequence_templates                  ON   2    17    9         88 KB     
marketing_sequences                           ON   5    12    10        72 KB     
marketing_touchpoints                         ON   1    19    0         16 KB     
marketing_webhooks                            ON   0    11    0         16 KB     
master_api_keys                               ON   1    14    0         32 KB     
media_library                                 ON   1    12    0         16 KB     
media_mentions                                ON   1    16    0         16 KB     
media_sources                                 ON   1    10    0         16 KB     
meeting_links                                 ON   5    13    1         48 KB     
message_queue                                 ON   1    28    2         128 KB    
message_sentiment                             ON   1    18    127       128 KB    
message_templates                             ON   1    7     0         16 KB     
messages                                      ON   8    22    340       280 KB    
migrations                                    ON   1    3     148       64 KB     
multichannel_outreach                         ON   1    12    769       432 KB    
n8n_chat_histories                            ON   1    4     104       192 KB    
notifications                                 ON   1    17    0         24 KB     
nps_surveys                                   ON   1    12    0         40 KB     
oauth_clients                                 ON   1    9     1         32 KB     
oauth_state_nonces                            ON   1    4     0         24 KB     
omega_alerts                                  ON   1    17    23146     11 MB     
omega_approval_queue                          ON   1    21    0         48 KB     
omega_campaigns                               ON   1    23    3         48 KB     
omega_feedback                                ON   1    13    0         24 KB     
